title,price_gbp,star_rating,availability,category,rating,in_stock,price_inr
A Light in the Attic,51.77,Three,In stock,Poetry,3,True,5461.735000000001
Tipping the Velvet,53.74,One,In stock,Historical Fiction,1,True,5669.570000000001
Soumission,50.1,One,In stock,Fiction,1,True,5285.55
Sharp Objects,47.82,Four,In stock,Mystery,4,True,5045.01
Sapiens: A Brief History of Humankind,54.23,Five,In stock,History,5,True,5721.264999999999
The Requiem Red,22.65,One,In stock,Young Adult,1,True,2389.575
The Dirty Little Secrets of Getting Your Dream Job,33.34,Four,In stock,Business,4,True,3517.3700000000003
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,Three,In stock,Default,3,True,1891.615
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,Four,In stock,Default,4,True,2384.3
The Black Maria,52.15,One,In stock,Poetry,1,True,5501.825
"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,Two,In stock,Default,2,True,1475.945
Shakespeare's Sonnets,20.66,Four,In stock,Poetry,4,True,2179.63
Set Me Free,17.46,Five,In stock,Young Adult,5,True,1842.0300000000002
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,Five,In stock,Sequential Art,5,True,5516.595
Rip it Up and Start Again,35.02,Five,In stock,Music,5,True,3694.61
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,Three,In stock,Music,3,True,6039.875
Olio,23.88,One,In stock,Poetry,1,True,2519.3399999999997
Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,One,In stock,Science Fiction,1,True,3965.7450000000003
Libertarianism for Beginners,51.33,Two,In stock,Politics,2,True,5415.315
It's Only the Himalayas,45.17,Two,In stock,Travel,2,True,4765.435
In Her Wake,12.84,One,In stock,Thriller,1,True,1354.62
How Music Works,37.32,Two,In stock,Music,2,True,3937.26
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",30.52,Three,In stock,Food and Drink,3,True,3219.86
